Valor Deseado	Valor Obtenido
281.29012977435616	281.29012977435616
156.48568992703397	156.48568992703397
70.24350355808531	70.24350355808531
26.108480283212373	26.108480283212373
614.9450625546652	614.9450625546652
205.02325442087377	205.0232544208738
223.5678353629532	223.5678353629532
178.28556243611672	178.2855624361167
242.5266758908977	242.52667589089774
550.0285285014244	550.0285285014243
98.1103443028035	98.11034430280353
-30.815347601947565	-30.815347601947565
629.5142871912747	629.5142871912747
229.31677392217273	229.31677392217273
609.5125265878057	609.5125265878057
336.70927665458044	336.70927665458044
413.5558921070754	413.5558921070755
271.1107636776329	271.1107636776329
563.9400969908486	563.9400969908485
335.0115013301042	335.0115013301042
207.69874015089653	207.69874015089658
252.08722025428614	252.08722025428608
175.4056179130265	175.40561791302648
350.02528040550544	350.02528040550544
692.1232347519004	692.1232347519004
334.1603835765963	334.1603835765964
106.44476449661175	106.44476449661177
318.2835117939243	318.28351179392433
11.03702048577469	11.037020485774704
335.9075355029514	335.90753550295136
377.27223480885164	377.2722348088514
1102.4085088068557	1102.4085088068557
70.00518331547813	70.00518331547812
668.0488049898062	668.0488049898063
247.86342316091276	247.86342316091273
382.5191426672427	382.5191426672426
291.71204810121986	291.7120481012198
182.68420674363537	182.68420674363537
783.5965104562765	783.5965104562765
82.24326021771822	82.24326021771822
498.52967851310814	498.52967851310837
338.6317851465906	338.6317851465905
514.1267382374065	514.1267382374066
164.8107194018641	164.8107194018641
0	0
30.444113447473796	30.444113447473796
66.31045234553953	66.31045234553946
329.55482712522564	329.55482712522564
467.6040154846014	467.6040154846013
80.67130790574512	80.67130790574507
1281.179530969625	1281.179530969625
712.3741516306852	712.3741516306852
69.22006984757233	69.22006984757233
114.10716957181941	114.10716957181944
449.9987049162768	449.99870491627684
866.8230469161326	866.8230469161326
342.9099732014794	342.90997320147943
407.563505597473	407.56350559747295
183.96930264302824	183.96930264302824
248.00642576022437	248.00642576022435
188.53658467529812	188.5365846752981
96.6631725494261	96.6631725494261
-20.942902337733578	-20.942902337733578
35.012253684352416	35.01225368435243
26.16609310754201	26.16609310754201
397.96076457597053	397.9607645759705
219.57918882166143	219.57918882166138
526.1144920408587	526.1144920408587
580.6552540538216	580.6552540538217
176.87087640145893	176.87087640145893
59.477465112741754	59.477465112741754
374.0385459315878	374.03854593158775
499.861543530933	499.8615435309329
156.01485065615321	156.01485065615324
467.7631341974036	467.7631341974036
331.6348326084559	331.6348326084559
1363.4886214056987	1363.4886214056985
724.5626326765453	724.5626326765453
77.86405155340067	77.86405155340067
673.3337941154248	673.3337941154248
158.69250065767247	158.69250065767247
63.651618836156786	63.651618836156786
652.222828736593	652.222828736593
604.0379897460958	604.0379897460958
761.675020958956	761.6750209589562
98.87821049729723	98.87821049729723
177.6115893138388	177.6115893138388
348.03221045195335	348.03221045195335
535.6490201394356	535.6490201394357
-1.3549252702743217	-1.3549252702743217
715.5433803004682	715.5433803004682
502.10626807738925	502.1062680773894
359.82162822058785	359.82162822058785
396.29608389325995	396.29608389326
770.4627684939353	770.4627684939354
703.6430474852128	703.643047485213
652.1259552759025	652.1259552759027
453.20786421483933	453.2078642148394
200.72563396182943	200.72563396182943
218.4603262145403	218.46032621454037
0	0
732.3118761419789	732.3118761419792
117.12362267579836	117.12362267579836
390.3304752652656	390.3304752652655
208.05687586350388	208.05687586350388
423.1325533086787	423.13255330867867
